Parameters2019CAL;AOS_File;Unit;LowerLimit;UpperLimit;MinStep;TestRound;Lot1;Lot2;Lot3;Lot4;Lot5;Lot6;Lot7;Lot8;Lot9;Lot10;Lot11;Lot12;Lot13;Lot14;Lot15;Lot16;Lot17;Lot18;Lot19;Lot20;Lot21;Lot22;Lot23;Lot24
PlantingDate;SimPeriod;ddmmyyyy;14122018;14122018;1;0;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018;14122018
HarvestDate;SimPeriod;ddmmyyyy;11042019;11042019;1;0;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019;11042019
CDC;Crop;GDD;0.004;0.004;0.0001;1;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004;0.004
CGC;Crop;GDD;0.005;0.007;0.0001;1;0.0059;-999;0.0059;0.005;0.0053;0.007;0.0063;0.0059;0.0059;0.0059;0.0059;0.0064;0.0059;0.0058;0.0059;-999;0.0059;0.0053;0.0059;0.0059;0.005;0.007;0.006;0.0059
Emergence;Crop;CD;6;16;1;1;12;-999;12;6;6;16;15;12;12;12;12;11;12;10;12;-999;12;14;12;12;11;16;10;12
CCx;Crop;NR;0.8;0.99;0.01;1;0.91;0.92;0.91;0.92;0.93;0.88;0.91;0.91;0.91;0.91;0.91;0.89;0.91;0.92;0.91;0.9;0.91;0.89;0.91;0.91;0.9;0.91;0.91;0.91
Senescence;Crop;CD;66;118;1;1;98;-999;98;-999;-999;99;93;98;98;98;98;96;98;-999;98;99;98;97;98;98;101;98;101;98
Maturity;Crop;CD;118;118;1;1;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118;118
HIstart;Crop;CD;66;89;1;1;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74;74
Flowering;Crop;CD;10;18;1;1;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13;13
PlantPop;Crop;NR;2000000;7000000;1;1;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000;3630000
SeedSize;Crop;CD;1;2.75;0.01;1;1.07;1;1.07;1.1;1;1;1;1.07;1.07;1.07;1.07;1.1;1.07;1;1.07;1;1.07;1;1.07;1.07;1.1;1;1.5;1.07
AppEff;IrrigationManagement;NR;40;70;1;2;55.5;60;55.5;40;50;55;60;55.5;55.5;55.5;55.5;-999;55.5;55;55.5;65;55.5;55;55.5;55.5;50;65;-999;55.5
REW;Soil;NR;9;12;1;2;10;9;10;9;11;12;11;10;10;10;10;-999;10;9;10;9;10;9;10;10;9;9;-999;10
Ksat;SoilHydrology;NR;254.4;5040;1;2;252;200;252;120;300;120;300;252;252;252;252;-999;252;120;252;620;252;120;252;252;120;500;-999;252
Zmin;Crop;NR;0.2;0.3;0.01;2;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;-999;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;0.3;-999;0.3
Zmax;Crop;NR;1.5;1.8;0.01;2;1.17;1.1;1.17;1.1;1.1;1.8;1.1;1.17;1.17;1.17;1.17;-999;1.17;1.1;1.17;1.1;1.17;1.1;1.17;1.17;1.1;1.1;-999;1.17
MaxRooting;Crop;CD;5;90;1;2;53;53;53;53;53;53;53;53;53;53;53;-999;53;53;53;53;53;53;53;53;53;53;53;53
th_wp;SoilHydrology;NR;0.078;0.188;0.001;2;0.129;0.13;0.129;0.078;0.17;0.15;0.16;0.129;0.129;0.129;0.129;-999;0.129;0.1;0.129;0.078;0.129;0.1;0.129;0.129;0.188;0.14;-999;0.129
th_fc;SoilHydrology;NR;0.258;0.402;0.001;2;0.313;0.3;0.313;0.28;0.3;0.33;0.33;0.313;0.313;0.313;0.313;-999;0.313;0.34;0.313;0.29;0.313;0.32;0.313;0.313;0.32;0.32;-999;0.313
th_s;SoilHydrology;NR;0.42;0.582;0.001;2;0.432;0.42;0.432;0.42;0.42;0.45;0.45;0.432;0.432;0.432;0.432;-999;0.432;0.45;0.432;0.42;0.432;0.42;0.432;0.432;0.42;0.45;-999;0.432
HI0;Crop;NR;0.45;0.5;0.01;3;0.48;0.48;0.48;0.47;0.48;0.5;0.5;0.48;0.48;0.48;0.48;-999;0.48;0.5;0.48;0.5;0.48;0.45;0.48;0.48;0.45;0.5;-999;0.48
